id,original,surface,pronunciation,prefecture,city,lines,operator,opened_year,station_code,status,image,image_page,description,wikidata
3559,坂戸,坂戸,さかど,埼玉県,坂戸市,東武鉄道 東武東上本線／東武鉄道 東武越生線,東武鉄道,1923,TJ26／サト,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakado%2020111102.jpg,https://commons.wikimedia.org/wiki/File:Sakado_20111102.jpg,埼玉県坂戸市日の出町にある、東武鉄道の駅である。駅番号はTJ 26。東上本線と越生線が乗り入れており、越生線の起点となっている。,Q7402739
3560,酒殿,酒殿,さかど,福岡県,粕屋町,JR九州 香椎線,JR九州,1904,JD12／カト,current,http://commons.wikimedia.org/wiki/Special:FilePath/Platform%20of%20Sakado%20Station%20%28Kashii%20Line%29.jpg,https://commons.wikimedia.org/wiki/File:Platform_of_Sakado_Station_%28Kashii_Line%29.jpg,福岡県糟屋郡粕屋町大字酒殿にある、九州旅客鉄道（JR九州）香椎線の駅である。駅番号はJD12。1985年（昭和60年）まで当駅から勝田線志免駅への貨物支線の旅石支線が分岐していた。,Q7402737
3561,坂根,坂根,さかね,岡山県,新見市,JR西日本 芸備線,JR西日本,1930,サネ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JRW%20sakane%20sta%20enclosure.jpg,https://commons.wikimedia.org/wiki/File:JRW_sakane_sta_enclosure.jpg,岡山県新見市神郷下神代字手ツキ田にある、西日本旅客鉄道（JR西日本）芸備線の駅である。,Q7402819
3562,坂ノ市,坂ノ市,さかのいち,大分県,大分市,JR九州 日豊本線,JR九州,1914,サチ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakanoichi%20Station.JPG,https://commons.wikimedia.org/wiki/File:Sakanoichi_Station.JPG,大分県大分市坂ノ市中央一丁目にある、九州旅客鉄道（JR九州）日豊本線の駅である。,Q5359526
3563,坂之上,坂之上,さかのうえ,鹿児島県,坂之上,JR九州 指宿枕崎線,JR九州,1966,サノ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakanoeu%20station2.jpg,https://commons.wikimedia.org/wiki/File:Sakanoeu_station2.jpg,鹿児島県鹿児島市坂之上四丁目にある、九州旅客鉄道（JR九州）指宿枕崎線の駅である。,Q870838
3564,坂部,坂部,さかべ,愛知県,阿久比町,名鉄河和線,名鉄,1931,KC07,current,http://commons.wikimedia.org/wiki/Special:FilePath/MT-Sakabe%20Station-Building%20for%20%C5%8Ctagawa.JPG,https://commons.wikimedia.org/wiki/File:MT-Sakabe_Station-Building_for_%C5%8Ctagawa.JPG,愛知県知多郡阿久比町大字卯坂にある名古屋鉄道河和線の駅。駅番号はKC07。,Q7402735
3565,坂祝,坂祝,さかほぎ,岐阜県,坂祝町,JR東海 高山本線,JR東海,1921,CG06／サホ,current,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%9D%82%E7%A5%9D%E9%A7%85%20%E9%A7%85%E8%88%8E%202022.jpg,https://commons.wikimedia.org/wiki/File:%E5%9D%82%E7%A5%9D%E9%A7%85_%E9%A7%85%E8%88%8E_2022.jpg,岐阜県加茂郡坂祝町取組にある、東海旅客鉄道（JR東海）高山本線の駅である。難読駅の一つ。駅番号はCG06。,Q873142
3566,坂町,坂町,さかまち,新潟県,村上市,JR東日本 米坂線／JR東日本 羽越本線,JR東日本,1914,サチ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Sakamachi%20Station%20Platform%2C%20Niigata%20Pref%2020230722.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Sakamachi_Station_Platform%2C_Niigata_Pref_20230722.jpg,新潟県村上市坂町にある、東日本旅客鉄道（JR東日本）の駅である。当駅の所属線である羽越本線と、当駅を終点とする米坂線の2路線が乗り入れ、接続駅となっている。,Q7402797
3567,坂元,坂元,さかもと,宮城県,山元町,JR東日本 常磐線,JR東日本,1897,サモ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Sakamoto%20Station%20Platform%20in%20Yamamoto%20Town%2C%20Miyagi%20Pref%2020250222.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Sakamoto_Station_Platform_in_Yamamoto_Town%2C_Miyagi_Pref_20250222.jpg,宮城県亘理郡山元町坂元字町東にある、東日本旅客鉄道（JR東日本）常磐線の駅である。常磐線における宮城県最南の駅であり、JR東日本東北本部の南端駅である。,Q7402807
3568,坂本比叡山口,坂本比叡山口,さかもとひえいざんぐち,滋賀県,大津市,京阪電気鉄道 石山坂本線,,1927,OT21,current,http://commons.wikimedia.org/wiki/Special:FilePath/Keihan%20Sakamoto%20stn.jpg,https://commons.wikimedia.org/wiki/File:Keihan_Sakamoto_stn.jpg,滋賀県大津市坂本四丁目にある、京阪電気鉄道石山坂本線の停留場。駅番号はOT21。同線の終着駅で、京阪全駅の中で最も北に位置する。,Q405082
3569,盛,盛,さかり,岩手県,大船渡市,JR東日本 大船渡線BRT／三陸鉄道リアス線／岩手開発鉄道日頃市線／岩手開発鉄道赤崎線,JR東日本／三鉄／岩手開発鉄道,1935,カリ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sanriku%20Railway%20Sakari%20Station%20building%20in%20Ofunato%20City%2C%20Iwate%20Pref.jpg,https://commons.wikimedia.org/wiki/File:Sanriku_Railway_Sakari_Station_building_in_Ofunato_City%2C_Iwate_Pref.jpg,岩手県大船渡市盛町字東町裏にある、三陸鉄道・岩手開発鉄道の鉄道駅、および東日本旅客鉄道（JR東日本）大船渡線BRT（バス高速輸送システム）のバス停留所である。,Q8190872
3570,佐川,佐川,さかわ,高知県,佐川町,四国旅客鉄道 土讃線,四国旅客鉄道,1924,K13／サワ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Dosansen%20SakawaEkisya.JPG,https://commons.wikimedia.org/wiki/File:Dosansen_SakawaEkisya.JPG,高知県高岡郡佐川町にある、四国旅客鉄道（JR四国）土讃線の駅である。駅番号はK13。志国土佐 時代の夜明けのものがたりを除く全特急列車が停車する。,Q7402876
3571,佐賀,佐賀,さが,佐賀県,佐賀市,JR九州 長崎本線,JR九州,1891,JH08／サカ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Saga%20Station%20south%20square%20August%202023.jpg,https://commons.wikimedia.org/wiki/File:Saga_Station_south_square_August_2023.jpg,佐賀県佐賀市駅前中央一丁目にある、九州旅客鉄道（JR九州）長崎本線の駅である。駅番号はJH08。,Q1042665
3572,嵯峨嵐山,嵯峨嵐山,さがあらしやま,京都府,右京区,JR西日本 山陰本線,JR西日本,1989,サア,current,http://commons.wikimedia.org/wiki/Special:FilePath/Saga-Arashiyama%20Station%2C%20ekisha.jpg,https://commons.wikimedia.org/wiki/File:Saga-Arashiyama_Station%2C_ekisha.jpg,京都府京都市右京区嵯峨天龍寺車道町にある、西日本旅客鉄道（JR西日本）山陰本線の駅である。駅番号はJR-E08。「嵯峨野線」の愛称区間に含まれている。,Q1044127
3573,寒河江,寒河江,さがえ,山形県,寒河江市,JR東日本 左沢線,JR東日本,1921,サエ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Sagae%20Station%20Platform%2C%20Yamagata%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Sagae_Station_Platform%2C_Yamagata_Pref.jpg,山形県寒河江市本町（ほんちょう）1丁目にある、東日本旅客鉄道（JR東日本）左沢線の駅である。,Q7398936
3574,佐賀公園,佐賀公園,さがこうえん,高知県,黒潮町,土佐くろしお鉄道中村線,土佐くろしお鉄道,1993,TK31／コウ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Saga-koen%20stn%201.jpg,https://commons.wikimedia.org/wiki/File:Saga-koen_stn_1.jpg,高知県幡多郡黒潮町佐賀にある、土佐くろしお鉄道（TKT）中村線の駅である。駅番号はTK31。,Q7398884
3575,相模大塚,相模大塚,さがみおおつか,神奈川県,大和市,相鉄本線,相鉄,1926,SO15,current,http://commons.wikimedia.org/wiki/Special:FilePath/Otuka%20south.jpg,https://commons.wikimedia.org/wiki/File:Otuka_south.jpg,神奈川県大和市桜森三丁目にある、相模鉄道相鉄本線の駅である。駅番号はSO15。,Q7398954
3576,相模大野,相模大野,さがみおおの,神奈川県,相模原市,小田急電鉄 小田急小田原線／小田急電鉄 小田急江ノ島線,小田急電鉄,1929,OH28,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sagami-OnoStationConcourse.jpg,https://commons.wikimedia.org/wiki/File:Sagami-OnoStationConcourse.jpg,神奈川県相模原市南区相模大野にある、小田急電鉄の駅である。相模原市東部の中心の駅、駅番号はOH 28。,Q1054659
3577,相模大野分岐点,相模大野分岐点,さがみおおのぶんきてん,神奈川県,相模原市,小田急電鉄 小田急小田原線／小田急電鉄 小田急江ノ島線,小田急電鉄,1929,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sagamioono-Bunkiten.JPG,https://commons.wikimedia.org/wiki/File:Sagamioono-Bunkiten.JPG,神奈川県相模原市南区にある小田急電鉄小田原線と江ノ島線の施設上の分岐点である。営業上の乗換駅は、当分岐点から200メートル新宿寄りにある相模大野駅である。,Q11582144
3578,相模金子,相模金子,さがみかねこ,神奈川県,大井町,JR東海 御殿場線,JR東海,1956,CB03／カネ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Gotemba%20Line%20Sagami-Kaneko%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_Gotemba_Line_Sagami-Kaneko_Station_Platform.jpg,神奈川県足柄上郡大井町金子にある、東海旅客鉄道（JR東海）御殿場線の駅である。駅番号はCB03。大井町の金子地区に位置する駅。1956年（昭和31年）12月に新設された。,Q5357284
3579,相模湖,相模湖,さがみこ,神奈川県,相模原市,JR東日本 中央本線,JR東日本,1901,JC25／ミコ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Chuo-Main-Line%20Sagamiko%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_Chuo-Main-Line_Sagamiko_Station_Platform.jpg,神奈川県相模原市緑区与瀬にある、東日本旅客鉄道（JR東日本）中央本線の駅である。駅番号はJC 25。相模原市の駅としては最も北に位置する。,Q7398971
3580,相模新,相模新,さがみしん,神奈川県,寒川町,JR東海 東海道新幹線,JR東海,,,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/station/st_6dd2a211f9.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/station/st_6dd2a211f9.svg,神奈川県及び相模原市、平塚市、藤沢市、茅ヶ崎市、厚木市、伊勢原市、海老名市、座間市、綾瀬市、高座郡寒川町の9市1町と県内の関係団体が構成する「神奈川県東海道新幹線新駅設置促進期成同盟会」が。,Q11582162
3581,相模沼田,相模沼田,さがみぬまた,神奈川県,南足柄市,伊豆箱根鉄道大雄山線,伊豆箱根鉄道,1926,ID07,current,http://commons.wikimedia.org/wiki/Special:FilePath/Izuhakone-railway-Daiyuzan-line-Sagami-numata-station-platform-20140310-132736.jpg,https://commons.wikimedia.org/wiki/File:Izuhakone-railway-Daiyuzan-line-Sagami-numata-station-platform-20140310-132736.jpg,神奈川県南足柄市沼田にある伊豆箱根鉄道大雄山線の駅。駅番号はID07。,Q7398953
3582,さがみ野,さがみ野,さがみの,神奈川県,海老名市,相鉄本線,相鉄,1975,SO16,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sagamino%20nouth.jpg,https://commons.wikimedia.org/wiki/File:Sagamino_nouth.jpg,神奈川県海老名市東柏ケ谷二丁目にある、相模鉄道相鉄本線の駅である。駅番号はSO16。座間市、綾瀬市との市境に近い。,Q7398969
3583,相模原,相模原,さがみはら,神奈川県,相模原,JR東日本 横浜線,JR東日本,1941,JH27／ラサ,current,http://commons.wikimedia.org/wiki/Special:FilePath/South%20Entrance%20of%20JR%20Sagamihara%20Station%20in%202008.jpg,https://commons.wikimedia.org/wiki/File:South_Entrance_of_JR_Sagamihara_Station_in_2008.jpg,神奈川県相模原市中央区相模原一丁目にある、相模原市の中心駅、東日本旅客鉄道（JR東日本）横浜線の駅である。駅番号はJH 27。,Q844696
3584,咲花,咲花,さきはな,新潟県,五泉市,JR東日本 磐越西線,JR東日本,1961,サナ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Sakihana%20Station%20Platform%2C%20Niigata%20Pref%2020230422.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Sakihana_Station_Platform%2C_Niigata_Pref_20230422.jpg,新潟県五泉市大字佐取（さどり）にある、東日本旅客鉄道（JR東日本）磐越西線の駅である。阿賀野川左岸を臨む温泉地に位置している。,Q11418295
3585,崎守,崎守,さきもり,北海道,室蘭市,JR北海道 室蘭本線,,1968,H34／サモ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Hokkaido%20Sakimori%20Station.JPG,https://commons.wikimedia.org/wiki/File:JR_Hokkaido_Sakimori_Station.JPG,北海道室蘭市崎守町にある北海道旅客鉄道（JR北海道）室蘭本線の駅である。駅番号はH34。電報略号はサモ。,Q7402984
3586,崎山,崎山,さきやま,福岡県,みやこ町,平筑 田川線,,1954,サヤ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakiyama%20station1.jpg,https://commons.wikimedia.org/wiki/File:Sakiyama_station1.jpg,福岡県京都郡みやこ町犀川崎山にある平成筑豊鉄道田川線の駅である。駅番号はHC23。,Q11477127
3587,左京山,左京山,さきょうやま,愛知県,名古屋市,名鉄名古屋本線,名鉄,1942,NH26,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakyoyama-up.jpg,https://commons.wikimedia.org/wiki/File:Sakyoyama-up.jpg,愛知県名古屋市緑区左京山にある名鉄名古屋本線の駅である。駅番号はNH26。大高緑地の最寄り駅であるため、以前の駅名表示板には「（緑地公園前）」と記されていた。,Q7403238
3588,鷺沼,鷺沼,さぎぬま,神奈川県,川崎市,東急電鉄 東急田園都市線,東急電鉄,1966,DT14,current,http://commons.wikimedia.org/wiki/Special:FilePath/Saginuma%20Station%20Platform%2001.jpg,https://commons.wikimedia.org/wiki/File:Saginuma_Station_Platform_01.jpg,神奈川県川崎市宮前区鷺沼三丁目にある、東急電鉄田園都市線の駅である。駅番号はDT14。駅長所在駅。鷺沼管内として宮崎台駅 - たまプラーザ駅間を管理している。,Q7399289
3589,鷺ノ宮,鷺ノ宮,さぎのみや,東京都,鷺宮,西武鉄道 西武新宿線,西武鉄道,1927,SS09,current,http://commons.wikimedia.org/wiki/Special:FilePath/Seibu-railway-Saginomiya-station-platform.jpg,https://commons.wikimedia.org/wiki/File:Seibu-railway-Saginomiya-station-platform.jpg,東京都中野区鷺宮三丁目にある、西武鉄道新宿線の駅である。駅番号はSS09。中野区最西端に位置する駅。,Q843170
3590,さぎの宮,さぎの宮,さぎのみや,静岡県,浜松市,遠州鉄道鉄道線,遠鉄,1909,ET09,current,http://commons.wikimedia.org/wiki/Special:FilePath/Saginomiya-Station%20Platform.JPG,https://commons.wikimedia.org/wiki/File:Saginomiya-Station_Platform.JPG,静岡県浜松市中央区大瀬町にある遠州鉄道鉄道線の駅である。駅番号はET09。,Q7399284
3591,佐久,佐久,さく,北海道,中川町,JR北海道 宗谷本線,,1922,W63,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Soya-Main-Line%20Saku%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Soya-Main-Line_Saku_Station_building.jpg,北海道（上川総合振興局）中川郡中川町字佐久にある北海道旅客鉄道（JR北海道）宗谷本線の駅である。電報略号はサク。事務管理コードは▲121833。駅番号はW63。,Q869335
3592,佐久海ノ口,佐久海ノ口,さくうみのくち,長野県,南牧村,JR東日本 小海線,JR東日本,1932,サウ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Koumi%20Line%20Saku-Uminokuchi%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Koumi_Line_Saku-Uminokuchi_Station_building.jpg,長野県南佐久郡南牧村大字海ノ口にある、東日本旅客鉄道（JR東日本）小海線の駅である。,Q7403128
3593,作草部,作草部,さくさべ,千葉県,稲毛区,千葉都市モノレール2号線,千葉都市モノレール,1991,CM05,current,http://commons.wikimedia.org/wiki/Special:FilePath/Chiba-monorail-CM05-Sakusabe-station-platform-20190701-122610.jpg,https://commons.wikimedia.org/wiki/File:Chiba-monorail-CM05-Sakusabe-station-platform-20190701-122610.jpg,千葉県千葉市稲毛区作草部二丁目にある、千葉都市モノレール2号線の駅である。駅番号はCM05。,Q7403224
3594,佐久平,佐久平,さくだいら,長野県,佐久市,JR東日本 北陸新幹線／JR東日本 小海線,JR東日本,1997,サク,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Hokuriku%20Shinkansen%E3%83%BBKoumi%20Line%20Sakudaira%20Station%20Tateshina%20Exit.jpg,https://commons.wikimedia.org/wiki/File:JR_Hokuriku_Shinkansen%E3%83%BBKoumi_Line_Sakudaira_Station_Tateshina_Exit.jpg,長野県佐久市佐久平駅東にある、東日本旅客鉄道（JR東日本）の駅である。北陸新幹線と在来線の小海線が乗り入れ、両路線の接続駅となっている。,Q1188565
3595,作並,作並,さくなみ,宮城県,仙台市,JR東日本 仙山線,JR東日本,1931,サミ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Sakunami%20Station%20building%2C%20Miyagi%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Sakunami_Station_building%2C_Miyagi_Pref.jpg,宮城県仙台市青葉区作並字相ノ沢にある、東日本旅客鉄道（JR東日本）仙山線の駅である。当駅舎内に設置されている作並簡易郵便局についても解説する。,Q7403152
3596,佐久広瀬,佐久広瀬,さくひろせ,長野県,南牧村,JR東日本 小海線,JR東日本,1935,サセ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Koumi%20Line%20Saku-Hirose%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_Koumi_Line_Saku-Hirose_Station_Platform.jpg,長野県南佐久郡南牧村大字広瀬にある、東日本旅客鉄道（JR東日本）小海線の駅である。駅の標高は1 082 mで、JRの駅の中で5番目に高い。,Q7403127
3597,佐久間,佐久間,さくま,静岡県,浜松市,JR東海 飯田線,JR東海,1936,サク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakuma%20Station-Platform%202.jpg,https://commons.wikimedia.org/wiki/File:Sakuma_Station-Platform_2.jpg,静岡県浜松市天竜区佐久間町佐久間にある、東海旅客鉄道（JR東海）飯田線の駅である。,Q776591
3598,桜,桜,さくら,三重県,四日市市,近畿日本鉄道 近鉄湯の山線,近畿日本鉄道,1913,サクラ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakura-station-E.jpg,https://commons.wikimedia.org/wiki/File:Sakura-station-E.jpg,三重県四日市市智積（ちしゃく）町字武佐にある、近畿日本鉄道（近鉄）湯の山線の駅である。駅番号はK26。,Q7403173
3599,佐倉,佐倉,さくら,千葉県,佐倉市,JR東日本 成田線／JR東日本 総武本線,JR東日本,1894,JO33／サク,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Sobu-Main-Line%E3%83%BBNarita-Line%20Sakura%20Station%20Platform%201%E3%83%BB2.jpg,https://commons.wikimedia.org/wiki/File:JR_Sobu-Main-Line%E3%83%BBNarita-Line_Sakura_Station_Platform_1%E3%83%BB2.jpg,千葉県佐倉市六崎にある、東日本旅客鉄道（JR東日本）の駅である。駅番号はJO 33。総武本線を所属線としており、成田線を含めた2路線が乗り入れている。,Q7403176
3600,桜,桜,さくら,愛知県,呼続四丁目,名鉄名古屋本線,名鉄,1917,NH30,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meitetsu%20Sakura%20Station%2002.JPG,https://commons.wikimedia.org/wiki/File:Meitetsu_Sakura_Station_02.JPG,愛知県名古屋市南区呼続4丁目にある、名古屋鉄道名古屋本線の駅である。駅番号はNH30。,Q7403174
3601,桜井,桜井,さくらい,大阪府,箕面市,阪急電鉄 阪急箕面線,,1910,HK-57,current,http://commons.wikimedia.org/wiki/Special:FilePath/Hankyu%20Sakurai%20station.jpg,https://commons.wikimedia.org/wiki/File:Hankyu_Sakurai_station.jpg,大阪府箕面市桜井二丁目にある、阪急電鉄箕面線の駅。駅番号はHK-57。,Q8192475
3602,桜井,桜井,さくらい,奈良県,桜井市,JR西日本 桜井線／近畿日本鉄道 近鉄大阪線,JR西日本,1893,D42,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakurai%20station%20South%2020190505.jpg,https://commons.wikimedia.org/wiki/File:Sakurai_station_South_20190505.jpg,奈良県桜井市大字桜井にある、西日本旅客鉄道（JR西日本）・近畿日本鉄道（近鉄）の駅である。駅番号は近鉄がD42。JRは未設定である。,Q5361714
3603,桜井,桜井,さくらい,愛知県,桜井町,名鉄西尾線,名鉄,1926,GN05,current,http://commons.wikimedia.org/wiki/Special:FilePath/MT-Sakurai%20Station-Building.jpg,https://commons.wikimedia.org/wiki/File:MT-Sakurai_Station-Building.jpg,愛知県安城市桜井町桜西一丁目にある名鉄西尾線の駅である。駅番号はGN05。特急を含め、全ての列車が停車する。manacaが利用可能。,Q7403205
3604,桜岡,桜岡,さくらおか,北海道,旭川市,JR北海道 石北本線,JR北海道,1922,A34,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Sekihoku-Main-Line%20Sakuraoka%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Sekihoku-Main-Line_Sakuraoka_Station_building.jpg,北海道旭川市東旭川町桜岡にある北海道旅客鉄道（JR北海道）石北本線の駅である。事務管理コードは▲122502。駅番号はA34。,Q8190663
3605,桜街道,桜街道,さくらかいどう,東京都,東大和市,多摩都市モノレール線,多摩都市モノレール,1998,TT18,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakurakaidoustation.jpg,https://commons.wikimedia.org/wiki/File:Sakurakaidoustation.jpg,東京都東大和市上北台三丁目にある、多摩都市モノレール線の駅である。駅番号はTT18。,Q7403154
3606,桜ヶ丘,桜ヶ丘,さくらがおか,神奈川県,大和市,小田急電鉄 小田急江ノ島線,小田急電鉄,1952,OE06,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakuragaoka%20Station%20West%20Exit.JPG,https://commons.wikimedia.org/wiki/File:Sakuragaoka_Station_West_Exit.JPG,神奈川県大和市福田にある、小田急電鉄江ノ島線の駅である。駅番号はOE 06。,Q4405554
3607,桜川,桜川,さくらがわ,大阪府,浪速区,大阪市高速電気軌道 千日前線／阪神電気鉄道 阪神なんば線,大阪市高速電気軌道／阪神電気鉄道,1969,HS 42／S15,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakuragawa%20station%2C%20Hansin01.JPG,https://commons.wikimedia.org/wiki/File:Sakuragawa_station%2C_Hansin01.JPG,大阪府大阪市浪速区桜川にある、大阪市高速電気軌道（Osaka Metro）・阪神電気鉄道の駅。,Q126339
3608,桜川,桜川,さくらがわ,滋賀県,東近江市,近江鉄道本線,,1900,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakuragawa%20Station%20shiga%201.jpeg,https://commons.wikimedia.org/wiki/File:Sakuragawa_Station_shiga_1.jpeg,滋賀県東近江市桜川西町にある近江鉄道本線（水口・蒲生野線）の駅である。駅番号はOR29。旧蒲生町の代表駅。,Q7403198
3609,桜木,桜木,さくらぎ,千葉県,若葉区,千葉都市モノレール2号線,千葉都市モノレール,1988,CM12,current,http://commons.wikimedia.org/wiki/Special:FilePath/Chiba_Urban_Monorail_Sakuragi_Station3.JPG,https://commons.wikimedia.org/wiki/File:Chiba_Urban_Monorail_Sakuragi_Station3.JPG,千葉県千葉市若葉区桜木七丁目にある、千葉都市モノレール2号線の駅である。駅番号はCM12。,Q7403200
3610,桜木,桜木,さくらぎ,静岡県,掛川市,天竜浜名湖鉄道天竜浜名湖線,天竜浜名湖鉄道,1935,トサ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Tenhama%20line%20sakuragi%20sta-02.JPG,https://commons.wikimedia.org/wiki/File:Tenhama_line_sakuragi_sta-02.JPG,静岡県掛川市富部（とんべ）にある天竜浜名湖鉄道天竜浜名湖線の駅である。「ヤマハピアノのふるさと」の副駅名がある。,Q7403201
3611,桜木町,桜木町,さくらぎちょう,神奈川県,中区,泉陽興業 YOKOHAMA AIR CABIN,,1872,,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Sakuragicho%20Station%20-%202024%20June%2030%20various%2001%2005%2039%20157000.jpeg,https://commons.wikimedia.org/wiki/File:JR_Sakuragicho_Station_-_2024_June_30_various_01_05_39_157000.jpeg,神奈川県横浜市中区にある、東日本旅客鉄道（JR東日本）・横浜市交通局（横浜市営地下鉄）・泉陽興業（YOKOHAMA AIR CABIN）の駅である。,Q801396
3612,桜沢,桜沢,さくらさわ,長野県,中野市,長野電鉄長野線,長電,1949,N17／ササ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakurasawa%20sta.jpg,https://commons.wikimedia.org/wiki/File:Sakurasawa_sta.jpg,長野県中野市大字三ツ和にある長野電鉄長野線の駅である。駅番号はN17。,Q11538128
3613,桜坂,桜坂,さくらざか,福岡県,中央区,福岡市交通局 七隈線,,2005,N12,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakurazaka-STA_Entrance2.jpg,https://commons.wikimedia.org/wiki/File:Sakurazaka-STA_Entrance2.jpg,福岡県福岡市中央区桜坂三丁目にある福岡市地下鉄七隈線の駅。駅番号はN12。,Q4357463
3614,桜沢,桜沢,さくらざわ,埼玉県,寄居町,秩父鉄道秩父本線,秩父鉄道,1989,CR19／サク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakurazawa%20sta.jpg,https://commons.wikimedia.org/wiki/File:Sakurazawa_sta.jpg,埼玉県大里郡寄居町大字桜沢にある秩父鉄道秩父本線の駅である。駅番号はCR19。,Q3701568
3615,さくら夙川,さくら夙川,さくらしゅくがわ,兵庫県,西宮市,JR西日本 東海道本線,JR西日本,2007,JR-A53／シク,current,http://commons.wikimedia.org/wiki/Special:FilePath/JRW-SakurashukugawaStation-B.jpg,https://commons.wikimedia.org/wiki/File:JRW-SakurashukugawaStation-B.jpg,兵庫県西宮市神楽町（かぐらちょう）にある、西日本旅客鉄道（JR西日本）東海道本線の駅である。駅番号はJR-A53。「JR神戸線」の愛称区間に含まれている。,Q1041960
3616,桜新町,桜新町,さくらしんまち,東京都,世田谷区,東急電鉄 東急田園都市線,東急電鉄,1977,DT05,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakura-shimmachi-sta-West.JPG,https://commons.wikimedia.org/wiki/File:Sakura-shimmachi-sta-West.JPG,東京都世田谷区桜新町二丁目にある、東急電鉄田園都市線の駅である。駅番号はDT05。,Q261870
3617,桜島,桜島,さくらじま,大阪府,桜島,JR西日本 桜島線,JR西日本,1910,サマ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakurajima%20Station.JPG,https://commons.wikimedia.org/wiki/File:Sakurajima_Station.JPG,大阪府大阪市此花区桜島一丁目にある、西日本旅客鉄道（JR西日本）桜島線（JRゆめ咲線）の駅。駅番号はJR-P17。桜島線の終着駅である。,Q1042687
3618,桜島桟橋通,桜島桟橋通,さくらじまさんばしどおり,鹿児島県,小川町,鹿児島市交通局 鹿児島市電第一期線,,1914,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sakurajimasambashidori%20tramstop%20Kagoshima%20city%20transportation%20bureau.jpg,https://commons.wikimedia.org/wiki/File:Sakurajimasambashidori_tramstop_Kagoshima_city_transportation_bureau.jpg,鹿児島県鹿児島市小川町にある鹿児島市電の停留場。鹿児島市電1系統と2系統が使用する。駅名の通り、桜島桟橋（鹿児島港の桜島フェリーターミナル）の最寄駅である。,Q11538001
